,title,label,processed_title
404,Intellectual Property Paralegal,CLASS9,intellectual property paralegal
405,Internal Auditor Internal Audit · Amsterdam,CLASS3,internal auditor internal audit  amsterdam
406,Junior Compliance Officer Legal and Compliance · Amsterdam · Hybrid Remote,CLASS3,junior compliance officer legal and compliance  amsterdam  hybrid remote
407,LEGAL ADMINISTRATOR,CLASS9,legal administrator
408,Legal Counsel,CLASS9,legal counsel
409,Legal Counsel & DPO,CLASS9,legal counsel and dpo
410,Senior Legal Counsel - Commercial Affairs,CLASS9,senior legal counsel  commercial affairs
411,"Senior Legal Counsel, Corporate and Securities",CLASS9,senior legal counsel corporate and securities
412,1045900- EECI - Virtual Reality User Experience,CLASS5,1045900 eeci  virtual reality user experience
413,1048140 - Functional Safety Engineer,CLASS4,1048140  functional safety engineer
414,1048170 - Electrification xIL Systems and Hardware Engineer,CLASS4,1048170  electrification xil systems and hardware engineer
415,1048243 - Requirement Modeling Engineer,CLASS4,1048243  requirement modeling engineer
416,AD/ADAS SW Quality engineer H/F,CLASS4,adadas sw quality engineer 
417,AD/ADAS SW Quality engineer #SWX,CLASS4,adadas sw quality engineer swx
418,ADAS Feature Architect  (m/w/d),CLASS5,adas feature architect 
419,AD- Process Engineer,CLASS4,ad process engineer
420,AD Simulation Senior Software Developer,CLASS5,ad simulation senior software developer
421,AD Simulation Senior SW Developer,CLASS5,ad simulation senior sw developer
422,AD Simulation SW Developer - Junior H/F,CLASS5,ad simulation sw developer  junior 
423,AD Simulation SW Developer - Senior H/F,CLASS5,ad simulation sw developer  senior 
424,AD Test Strategy and Plan Engineer,CLASS6,ad test strategy and plan engineer
425,AD Test Strategy and Plan Engineer H/F,CLASS6,ad test strategy and plan engineer 
426,AD Validation Test Engineer,CLASS4,ad validation test engineer
427,AD Validation Test Engineer H/F,CLASS4,ad validation test engineer 
428,Program Manager - Business Operations - Accommodations,CLASS13,program manager  business operations  accommodations
429,Senior Expert Planning & Risk Analysis,CLASS3,senior expert planning and risk analysis
430,Brow & Beauty Expert - Bluewater,CLASS13,brow and beauty expert  bluewater
431,Senior Account Manager/Team Manager - Rennes,CLASS6,senior account managerteam manager  rennes
432,Sales Analytic Manager,CLASS6,sales analytic manager
433,Customer Service Rep II - Motorized (8am - 5pm),CLASS2,customer service representative 2  motorized 
434,"Procurement Professional, Indirect Spend for Device Manufacturing & Sourcing",CLASS7,procurement professional indirectorect spend for device manufacturing and sourcing
435,Supply Chain Traineeship,CLASS7,supply chain traineeship
436,Customer Assistant - Manchester - Lingerie 37.5hrs,CLASS2,customer assistant  manchester  lingerie 375human resources
437,Trade Optimisation Specialist,CLASS13,trade optimisation specialist
438,Counter Manager - Lisburn,CLASS13,counter manager  lisburn
439,"Product Manager, Fleet Solutions",CLASS5,product manager fleet solutions
440,Brand Assistant,CLASS6,brand assistant
441,Senior Manager of Drayage Services,CLASS13,senior manager of drayage services
442,IT Manager,CLASS5,it manager
443,"Senior Software Engineer, Java",CLASS5,senior software engineer java
444,Staff iOS Engineer,CLASS5,staff ios engineer
445,Business Development Sales Representative - Knoxville - 2022 Start Date,CLASS6,business development sales representativeresentative  knoxville   
446,Information Technology Help Desk,CLASS13,information technology help desk
447,Staff Accountant,CLASS10,staff accountant
448,Market Development Manager (Grants),CLASS6,market development manager 
449,Intern in the area of development corporate strategy (f/m/d),CLASS13,intern in the area of development corporate strategy 
450,Oncology Regional Managing Director - South - Remote,CLASS13,oncology regional managing director  south  remote
451,"Scientist, Cell Therapy Innovation",CLASS4,scientist cell therapy innovation
452,Senior Engineer,CLASS4,senior engineer
453,Regional Sales Manager,CLASS6,regional sales manager
454,Team Manager - South London,CLASS13,team manager  south london
455,Analyst Forecast Planning & Analysis,CLASS6,analyst forecast planning and analysis
456,Junior Scientist Protein Science,CLASS4,junior scientist protein science
457,Client Account Manager,CLASS6,client account manager
458,Summer intern - Coating Development for fertilizer,CLASS4,summer intern  coating development for fertilizer
459,Materials Supervisor,CLASS7,materials supervisor
460,Reorder buyer,CLASS7,reorder buyer
461,Manufacturing Technician,CLASS8,manufacturing technician
462,PLANT OPERATOR,CLASS8,plant operator
463,Office Clerk - Tuscaloosa,CLASS13,office clerk  tuscaloosa
464,Java Software Engineer,CLASS5,java software engineer
465,Client Experience Manager,CLASS6,client experience manager
466,Maintenance Manager,CLASS11,maintenance manager
467,Sales Manager Odor and H2S Solutions,CLASS6,sales manager odor and h2s solutions
468,Test Technician (2nd Shift)- KION Mobile Automation,CLASS11,test technician  kion mobile automation
469,Junior Office Assistant,CLASS13,junior office assistant
470,Inside sales,CLASS6,inside sales
471,Warehouse Manager / Lagerleiter (m/w/d),CLASS7,warehouse manager  lagerleiter 
472,Field Service Engineer,CLASS11,field service engineer
473,IT Domain Specialist - Data & Reporting,CLASS5,it domain specialist  data and representativeorting
474,Master Thesis - Smart Greenhouse Farming,CLASS13,master thesis  smart greenhouse farming
475,Sales Specialist,CLASS6,sales specialist
476,Customer Assistant - Operations - Days - New Store Opening Battersea Power Station,CLASS2,customer assistant  operations  days  new store opening battersea power station
477,Senior Java Software Engineer - P&C Düsseldorf,CLASS5,senior java software engineer  pandc dsseldorf
478,"Primary Care Sales Specialist – CRM – Charleston, WV – Remote",CLASS6,primary care sales specialist  crm  charleston wv  remote
479,Resident Engineer,CLASS4,resident engineer
480,Tech Lead Data,CLASS5,tech lead data
481,Inspecteur kwaliteitscontrole,CLASS8,inspecteur kwaliteitscontrole
482,Quality Assurance Engineer,CLASS8,quality assurance engineer
483,Systems Analyst-Process,CLASS5,systems analystprocess
484,Accounts Payable Clerk I (7am to 4pm),CLASS10,accounts payable clerk 1 
485,Software Engineer Smart Energy Grid,CLASS5,software engineer smart energy grid
486,Digital Procurement Representative (Entry Level),CLASS7,digital procurement representativeresentative 
487,IT (Lead) Business Consultant - SAP EWM or WM,CLASS5,it  business consultant  sap ewm or wm
488,Data Scientist,CLASS5,data scientist
489,IT Service Lead,CLASS5,it service lead
490,Account Manager External (m/w/d) - Vertrieb,CLASS6,account manager external   vertrieb
491,Cloud Ops Engineer,CLASS5,cloud operations engineer
492,Customer Assistant - Cowley road - Oxford,CLASS2,customer assistant  cowley road  oxford
493,R&D Spec II - High Throughput Protein Production,CLASS4,research and development spec 2  high thuman resourceoughput protein production
494,Account Executive,CLASS6,account executive
495,Event Planner - 17 month FTC,CLASS6,event planner  17 month ftc
496,Primary Care Sales Specialist – CRM – Roanoke – Remote,CLASS6,primary care sales specialist  crm  roanoke  remote
497,Multi Site Hr Manager – Waterford/Cork,CLASS1,multi site human resource manager  waterfordcork
498,Sales Representative,CLASS6,sales representativeresentative
499,Energy Sales Account Manager,CLASS6,energy sales account manager
500,Loan Operations Manager,CLASS10,loan operations manager
501,Medical Science Liaison,CLASS4,medical science liaison
502,Product Manager Oncology,CLASS4,product manager oncology
503,Senior Chemist - Energy and Low Carbon,CLASS4,senior chemist  energy and low carbon
504,Summer 2022 Business Development Sales Intern - Chicago,CLASS6,summer  business development sales intern  chicago
505,Master Thesis - Wireless Factory Network,CLASS13,master thesis  wireless factory network
506,Export Control Officer,CLASS7,export control officer
507,Validation Engineer,CLASS8,validation engineer
508,Field Collections Representative - Hixson,CLASS13,field collections representativeresentative  hixson
509,Engineering Manager,CLASS5,engineering manager
510,OTM Solution Architect,CLASS13,otm solution architect
511,Senior Developer Analyst,CLASS5,senior developer analyst
512,Software Engineer AWS,CLASS5,software engineer aws
513,Master Scheduler,CLASS13,master scheduler
514,Protection Engineer,CLASS8,protection engineer
515,Internal Auditor – Trading & Commodity Risk,CLASS3,internal auditor  trading and commodity risk
516,Maintenance Lead,CLASS11,maintenance lead
517,Digital Manager for importers platforms,CLASS7,digital manager for importers platforms
518,Administrative Assistant - Construction Loan Department,CLASS10,administrative assistant  construction loan department
519,Key Account Manager F/H,CLASS6,key account manager 
520,Office Manager - Richmond,CLASS13,office manager  richmond
521,Safety & Quality Inspector,CLASS8,safety and quality inspector
522,Senior Product Designer,CLASS4,senior product designer
523,Senior Product Owner - Contracts eCommerce,CLASS6,senior product owner  contracts ecommerce
524,AI Engineer,CLASS5,ai engineer
525,Autonomous Vehicle Architect – UD Trucks Technology,CLASS8,autonomous vehicle architect  ud trucks technology
526,Account Manager,CLASS6,account manager
527,LVMH Japan - OmniRetail Lead,CLASS6,lvmh japan  omniretail lead
528,Sr. Quality Assurance Engineer (frontend),CLASS5,senior quality assurance engineer 
529,Senior Business Analyst Salesforce Service / Marketing Cloud,CLASS6,senior business analyst salesforce service  marketing cloud
530,Client Account Manager (Full Time Position),CLASS6,client account manager 
531,"Personal Assistant to Country President, 12 Month Contract/Secondment",CLASS13,personal assistant to country president 12 month contractsecondment
532,Machine Operator I Swiss,CLASS13,machine operator 1 swiss
533,Senior Project Engineer,CLASS4,senior project engineer
534,Analytical Technician - Early Phase Biopharmaceutical Products,CLASS4,analytical technician  early phase biopharmaceutical products
535,Lead Clinical Trial Associate (Remote),CLASS4,lead clinical trial associate 
536,Agile Program Coach,CLASS5,agile program coach
537,Sr. Specialist Master Data and Systems,CLASS5,senior specialist master data and systems
538,Senior Mechanical Equipment Engineer,CLASS8,senior mechanical equipment engineer
539,Safety Advisor,CLASS8,safety advisor
540,Internship: Finance @ Philips,CLASS10,intern finance  philips
541,Text Analytics (NLP) Expert,CLASS5,text analytics  expert
542,Counter Manager - Dublin Jervis Centre,CLASS13,counter manager  dublin jervis centre
543,System Verification Engineer,CLASS8,system verification engineer
544,Senior Software Engineer / Software Architect Zagreb,CLASS5,senior software engineer  software architect zagreb
545,NDT Technician,CLASS11,ndt technician
546,ESW Application Engineer - Application Development,CLASS5,esw application engineer  application development
547,Compliance Senior QA Engineer /Specialist,CLASS3,compliance senior quality assucance engineer specialist
